nmbr,location,lat,lon,carrington_lo,area,z_class,ll,nn,mag_type,date,pixel_x,pixel_y,crop_filename
9770,N08W29,8,29,81,30,Cso,4,8,Beta,2002-01-03,750.3812462235355,604.815147690747,20020103_9770.npy
9771,S20E17,-20,-17,35,10,Bxo,5,5,Beta,2002-01-03,373.8845286084877,366.05919242451887,20020103_9771.npy
9754,S05W81,-5,81,121,160,Eao,11,10,Beta,2002-01-04,1000.8238346889134,472.4916022402057,20020104_9754.npy
9755,S04W55,-4,55,95,70,Cso,5,4,Beta,2002-01-04,918.2738118763704,493.13552297444727,20020104_9755.npy
9761,N11W31,11,31,71,20,Hsx,2,3,Alpha,2002-01-04,763.1069142118035,630.6166363467399,20020104_9761.npy
9763,N07W20,7,20,59,50,Hsx,2,1,Alpha,2002-01-04,680.2594542445647,598.9813414655979,20020104_9763.npy
9764,N14W64,14,64,104,170,Dao,10,7,Beta,2002-01-04,945.4564492320998,643.7299690123082,20020104_9764.npy
9765,N06W03,6,3,43,70,Cso,3,4,Beta,2002-01-04,536.8218177264012,592.1081710010811,20020104_9765.npy
9766,N07E08,7,-8,32,10,Bxo,3,2,Beta,2002-01-04,441.9376801217833,600.4303164575442,20020104_9766.npy
9767,S23E23,-23,-23,17,310,Eai,14,39,Beta-Gamma,2002-01-04,331.64438376608,341.2292834277961,20020104_9767.npy
9768,S07W43,-7,43,83,40,Cso,7,5,Beta,2002-01-04,848.5120900732708,471.64878380303537,20020104_9768.npy
9769,S19W45,-19,45,85,60,Dso,6,5,Beta,2002-01-04,844.3511442228852,368.6668826248952,20020104_9769.npy
9770,N09W41,9,41,81,50,Cso,4,9,Beta,2002-01-04,834.0755614108398,610.6817292718381,20020104_9770.npy
9771,S20E05,-20,-5,35,40,Cro,7,9,Beta,2002-01-04,470.05322410247936,368.0192113012455,20020104_9771.npy
9772,S18E83,-18,-83,317,120,Hax,2,1,Alpha,2002-01-04,42.723169408043134,361.1488708789848,20020104_9772.npy
9754,S07W92,-7,92,119,20,Cso,2,5,Beta,2002-01-05,1004.486350836668,449.78069955659527,20020105_9754.npy
9755,S03W71,-3,71,98,90,Hsx,2,2,Alpha,2002-01-05,981.2105626258964,494.9723245482913,20020105_9755.npy
9761,N11W45,11,45,72,10,Hsx,1,1,Alpha,2002-01-05,857.0014453427985,626.9273993953129,20020105_9761.npy
9763,N06W34,6,34,61,20,Hsx,2,3,Alpha,2002-01-05,788.2920516189838,587.9679701707319,20020105_9763.npy
9764,N14W80,14,80,107,170,Dao,10,6,Beta,2002-01-05,986.6157255978724,636.2807514113138,20020105_9764.npy
9765,N06W16,6,16,43,70,Cso,7,9,Beta,2002-01-05,647.6399734490882,591.9482708171503,20020105_9765.npy
9767,S22E08,-22,-8,19,340,Fki,17,51,Beta-Gamma,2002-01-05,446.54735547987497,352.19189802594406,20020105_9767.npy
9768,S06W58,-6,58,85,50,Dso,5,11,Beta,2002-01-05,931.2603978032962,475.0630287600502,20020105_9768.npy
9769,S19W61,-19,61,88,170,Dso,5,2,Beta,2002-01-05,923.0412853136886,363.1877049504111,20020105_9769.npy
9770,N07W55,7,55,82,50,Cso,5,8,Beta,2002-01-05,916.1570713691016,588.8585765295499,20020105_9770.npy
9771,S20W10,-20,10,37,60,Cso,9,13,Beta,2002-01-05,592.3179901361472,368.6509992558281,20020105_9771.npy
9772,S16E65,-16,-65,322,60,Hax,2,1,Alpha,2002-01-05,77.92231140967812,386.3620850869869,20020105_9772.npy
9773,N14E64,14,-64,323,80,Cso,7,6,Beta,2002-01-05,77.48110824547115,644.012641382581,20020105_9773.npy
9755,S05W83,-5,83,96,60,Hsx,2,1,Alpha,2002-01-06,1003.0865952488352,471.7476772899848,20020106_9755.npy
9761,N12W56,12,56,69,20,Hsx,1,1,Alpha,2002-01-06,915.0788711097528,631.4535991648686,20020106_9761.npy
9763,N06W45,6,45,58,10,Hsx,1,1,Alpha,2002-01-06,861.5817283893085,584.9641743669322,20020106_9763.npy
9764,N13W89,13,89,102,90,Dao,6,3,Beta,2002-01-06,995.6731193440804,623.2518453951915,20020106_9764.npy
9765,N07W25,7,25,38,70,Cso,7,3,Beta,2002-01-06,720.1912766877724,599.7313438599668,20020106_9765.npy
9767,S22W03,-22,3,16,320,Fki,17,34,Beta-Gamma,2002-01-06,535.1674104216083,353.34818725060336,20020106_9767.npy
9768,S04W70,-4,70,83,160,Dso,8,12,Beta,2002-01-06,977.8342012175938,487.1350008083366,20020106_9768.npy
9769,S18W72,-18,72,85,90,Dso,5,3,Beta,2002-01-06,961.4469554449188,366.9045841595758,20020106_9769.npy
9770,N07W62,7,62,75,90,Cso,6,10,Beta,2002-01-06,947.5848975245324,586.1676516286178,20020106_9770.npy
9771,S23W20,-23,20,33,30,Dso,4,4,Beta,2002-01-06,668.0359694826805,343.4948742602265,20020106_9771.npy
9772,S17E52,-17,-52,321,50,Hsx,2,1,Alpha,2002-01-06,135.96278094875322,384.00388367059696,20020106_9772.npy
9773,N13E52,13,-52,321,130,Dso,8,8,Beta,2002-01-06,128.900421542233,641.4929967166538,20020106_9773.npy
9761,N10W70,10,70,70,10,Axx,1,1,Alpha,2002-01-07,971.8668864008104,608.151665490008,20020107_9761.npy
9763,N06W59,6,59,59,20,Hrx,1,1,Alpha,2002-01-07,935.7917906670438,579.4841423797473,20020107_9763.npy
9765,N06W41,6,41,41,70,Hsx,1,1,Alpha,2002-01-07,836.381895233355,587.1577875025937,20020107_9765.npy
9767,S22W17,-22,17,17,280,Fai,16,29,Beta-Gamma,2002-01-07,646.2945946231908,353.0541073742462,20020107_9767.npy
9768,S05W84,-5,84,84,220,Dao,9,6,Beta-Gamma,2002-01-07,1004.0577629577012,471.3308348319044,20020107_9768.npy
9769,S18W88,-18,88,88,30,Hsx,1,1,Alpha,2002-01-07,983.9891309640676,359.10160849123105,20020107_9769.npy
9771,S23W34,-23,34,34,10,Bxo,9,5,Beta,2002-01-07,767.7854926372238,341.19533773434244,20020107_9771.npy
9772,S17E38,-17,-38,322,70,Hsx,2,1,Alpha,2002-01-07,217.7447550401984,389.76725910236655,20020107_9772.npy
9773,N13E36,13,-36,324,140,Dao,7,8,Beta,2002-01-07,225.70639847525692,648.2019507614698,20020107_9773.npy
9761,N09W83,9,83,70,10,Axx,1,1,Alpha,2002-01-08,998.8492630011756,592.7269198330993,20020108_9761.npy
9763,N05W73,5,73,60,10,Axx,1,1,Alpha,2002-01-08,985.3623272361228,564.0203602753071,20020108_9763.npy
9765,N06W54,6,54,41,70,Cso,11,2,Beta,2002-01-08,912.0434729310808,582.3472574936274,20020108_9765.npy
9767,S22W30,-22,30,17,250,Fai,16,28,Beta-Gamma,2002-01-08,742.3363878622979,351.23362011381084,20020108_9767.npy
9771,S21W49,-21,49,36,10,Bxo,7,6,Beta,2002-01-08,862.3200540243063,353.2084189459516,20020108_9771.npy
9772,S17E24,-17,-24,323,60,Hsx,1,1,Alpha,2002-01-08,317.16833904755856,394.3846378608522,20020108_9772.npy
9773,N12E22,12,-22,325,120,Dao,8,13,Beta,2002-01-08,328.3837095187328,644.4359907708041,20020108_9773.npy
9774,N12W37,12,37,24,10,Bxo,4,2,Beta,2002-01-08,804.6261392929489,640.2766897100615,20020108_9774.npy
9775,S06E37,-6,-37,310,20,Cro,3,3,Beta,2002-01-08,212.857517566149,485.2514529045775,20020108_9775.npy
9776,N10E59,10,-59,288,10,Axx,0,1,Alpha,2002-01-08,91.26299860971072,614.0222060593204,20020108_9776.npy
9765,N06W71,6,71,45,70,Hsx,2,1,Alpha,2002-01-09,979.1452997111872,574.0036508445644,20020109_9765.npy
9767,S21W43,-21,43,17,160,Eao,14,16,Beta-Gamma,2002-01-09,828.4614287768618,356.1204942489089,20020109_9767.npy
9772,S16E11,-16,-11,323,60,Hsx,2,1,Alpha,2002-01-09,419.5280956246745,405.8884790611511,20020109_9772.npy
9773,N13E07,13,-7,327,90,Dao,8,19,Beta,2002-01-09,451.7759689792283,655.8299582627689,20020109_9773.npy
9775,S05E24,-5,-24,310,40,Cso,7,10,Beta,2002-01-09,308.9645527962633,498.556376342336,20020109_9775.npy
9776,N11E46,11,-46,288,40,Cso,3,3,Beta,2002-01-09,159.45769681102962,629.0034355549572,20020109_9776.npy
9777,S06E64,-6,-64,270,10,Axx,1,1,Alpha,2002-01-09,66.59065524465063,473.9413287869682,20020109_9777.npy
9778,S15E67,-15,-67,267,60,Hsx,2,1,Alpha,2002-01-09,69.08932881049532,395.3905446150609,20020109_9778.npy
9779,N28E65,28,-65,269,150,Hsx,3,1,Alpha,2002-01-09,113.43150209998733,756.6874778484469,20020109_9779.npy
9765,N07W86,7,86,47,40,Hsx,2,1,Alpha,2002-01-10,1003.6033731835672,574.0049458455424,20020110_9765.npy
9767,S18W61,-18,61,22,170,Dao,10,6,Beta,2002-01-10,925.5266136957392,373.77091462967314,20020110_9767.npy
9772,S16W02,-16,2,323,60,Hsx,1,1,Alpha,2002-01-10,527.9178835477007,407.3758862482061,20020110_9772.npy
9773,N14W05,14,5,326,300,Eai,11,27,Beta-Gamma-Delta,2002-01-10,553.3606110043377,665.1385830188984,20020110_9773.npy
9775,S05E11,-5,-11,310,80,Dso,9,15,Beta,2002-01-10,416.3381189331975,501.7656867139485,20020110_9775.npy
9776,N11E32,11,-32,289,70,Dso,6,4,Beta,2002-01-10,251.95889498424225,634.9381497140489,20020110_9776.npy
9778,S16E58,-16,-58,263,170,Eao,11,9,Beta,2002-01-10,105.68270986047855,391.9140902676703,20020110_9778.npy
9779,N28E53,28,-53,268,170,Cao,9,3,Beta,2002-01-10,160.49795513274074,762.667665302333,20020110_9779.npy
9780,S11W49,-11,49,10,30,Dso,4,3,Beta,2002-01-10,880.4309042234242,438.7364588462452,20020110_9780.npy
9767,S17W73,-17,73,20,120,Cao,5,4,Beta,2002-01-11,966.5681520798134,376.1651879858034,20020111_9767.npy
9772,S16W14,-16,14,321,40,Hsx,2,1,Alpha,2002-01-11,627.444799334986,407.3242641064063,20020111_9772.npy
9773,N14W17,14,17,324,510,Eac,14,44,Beta-Gamma-Delta,2002-01-11,652.9263837409911,664.6228969981074,20020111_9773.npy
9775,S05W03,-5,3,310,80,Dso,7,17,Beta,2002-01-11,537.4250894024128,503.30382620162766,20020111_9775.npy
9776,N10E19,10,-19,288,40,Cso,7,4,Beta,2002-01-11,351.5496692978421,630.757514289674,20020111_9776.npy
9778,S17E45,-17,-45,262,220,Eai,15,21,Beta,2002-01-11,174.71444098345123,389.9667396668973,20020111_9778.npy
9779,N28E40,28,-40,267,100,Cao,4,2,Beta,2002-01-11,228.9218957545945,768.4828482278274,20020111_9779.npy
9780,S11W62,-11,62,9,50,Dso,5,6,Beta,2002-01-11,943.0570010125612,432.912544092444,20020111_9780.npy
9767,S18W87,-18,87,21,90,Cao,9,3,Beta,2002-01-12,983.2534450723996,360.2349634345629,20020112_9767.npy
9772,S16W28,-16,28,322,60,Hsx,2,2,Alpha,2002-01-12,736.4157033377525,405.3752276614972,20020112_9772.npy
9773,N14W32,14,32,326,570,Eki,15,28,Beta-Gamma-Delta,2002-01-12,767.6719489392192,661.4454742814592,20020112_9773.npy
9775,S05W16,-5,16,310,140,Dao,8,16,Beta,2002-01-12,648.4278280779497,502.9513278791436,20020112_9775.npy
9776,N11E04,11,-4,290,30,Cso,7,4,Beta,2002-01-12,477.4899811630454,641.8499175643578,20020112_9776.npy
9778,S16E33,-16,-33,261,180,Eai,13,26,Beta,2002-01-12,251.01504478487945,403.81007476956194,20020112_9778.npy
9779,N28E27,28,-27,267,120,Cso,7,5,Beta,2002-01-12,312.1840279945177,773.0111017397414,20020112_9779.npy
9780,S10W78,-10,78,12,40,Cso,6,3,Beta,2002-01-12,990.2235743419724,432.79440880317577,20020112_9780.npy
9781,S06E64,-6,-64,230,90,Hsx,2,1,Alpha,2002-01-12,67.61613465558196,475.32477513000384,20020112_9781.npy
9782,N09E73,9,-73,221,160,Dao,10,7,Beta,2002-01-12,42.88076739484262,599.2431435209392,20020112_9782.npy
9772,S16W41,-16,41,322,60,Hsx,2,2,Alpha,2002-01-13,825.6499636559838,401.6212693385401,20020113_9772.npy
9773,N15W46,15,46,327,500,Fki,16,16,Beta-Gamma-Delta,2002-01-13,857.4620025327247,664.7654627742813,20020113_9773.npy
9775,S05W30,-5,30,311,140,Eao,12,19,Beta-Gamma,2002-01-13,759.7674904119438,500.27932576898496,20020113_9775.npy
9776,N11W13,11,13,294,20,Cso,6,5,Beta,2002-01-13,621.6829612811443,641.8516598609098,20020113_9776.npy
9778,S16E21,-16,-21,260,140,Eai,12,20,Beta-Gamma,2002-01-13,340.1168832744879,407.9275220354017,20020113_9778.npy
9779,N29E13,29,-13,268,120,Cso,6,3,Beta,2002-01-13,413.7736242584464,783.8213273505858,20020113_9779.npy
9780,S10W93,-10,93,14,30,Hsx,1,1,Alpha,2002-01-13,999.7564165644152,423.55415429829833,20020113_9780.npy
9781,S05E52,-5,-52,229,80,Hsx,2,1,Alpha,2002-01-13,121.37039635886153,490.9401634274036,20020113_9781.npy
9782,N09E62,9,-62,219,320,Dao,10,6,Beta,2002-01-13,78.4774217777362,606.0941844148952,20020113_9782.npy
9783,S10E76,-10,-76,205,90,Hax,3,1,Alpha,2002-01-13,37.5411095018473,434.1694248521109,20020113_9783.npy
9772,S17W54,-17,54,322,30,Hsx,1,1,Alpha,2002-01-14,896.3410029085697,387.8238550089695,20020114_9772.npy
9773,N16W57,16,57,325,530,Fki,16,15,Beta-Gamma-Delta,2002-01-14,912.3664812022682,667.9182353189257,20020114_9773.npy
9775,S05W43,-5,43,311,180,Eao,14,22,Beta-Gamma,2002-01-14,849.6499605661986,495.91817962634326,20020114_9775.npy
9776,N11W26,11,26,294,20,Cso,4,3,Beta,2002-01-14,725.7757786064133,639.7862822953476,20020114_9776.npy
9778,S16E09,-16,-9,259,140,Eai,13,18,Beta-Gamma-Delta,2002-01-14,436.5568181468332,410.7061330756055,20020114_9778.npy
9779,N30E02,30,-2,266,130,Hsx,2,1,Alpha,2002-01-14,496.4555370662795,792.585819568899,20020114_9779.npy
9781,S05E39,-5,-39,229,60,Hsx,2,1,Alpha,2002-01-14,199.4833652939432,497.6241654919322,20020114_9781.npy
9782,N08E48,8,-48,220,280,Dao,8,10,Beta,2002-01-14,145.49962882969982,605.6195830490019,20020114_9782.npy
9783,S11E65,-11,-65,203,160,Hax,3,2,Alpha,2002-01-14,69.57606944502874,432.5702051114033,20020114_9783.npy
9784,S29E58,-29,-58,210,10,Axx,1,1,Alpha,2002-01-14,142.94577570579747,288.6926857331556,20020114_9784.npy
9785,N12E53,12,-53,215,110,Cao,7,6,Beta,2002-01-14,123.15261046598836,636.8376378155131,20020114_9785.npy
9772,S17W67,-17,67,322,30,Hsx,2,1,Alpha,2002-01-15,949.0666308690392,381.0755651734042,20020115_9772.npy
9773,N16W70,16,70,325,460,Fki,17,12,Beta-Gamma-Delta,2002-01-15,960.3170676923296,660.5814202642017,20020115_9773.npy
9775,S06W57,-6,57,312,220,Fai,16,21,Beta-Gamma,2002-01-15,926.3696215912228,480.6421034588868,20020115_9775.npy
9776,N10W40,10,40,295,10,Cso,3,3,Beta,2002-01-15,826.6423119920325,626.9258875549893,20020115_9776.npy
9778,S16W05,-16,5,260,120,Eai,12,24,Beta,2002-01-15,553.3201328895656,411.85914400542447,20020115_9778.npy
9779,N29W12,29,12,267,100,Hsx,3,1,Alpha,2002-01-15,602.1314036549979,785.3315531754964,20020115_9779.npy
9781,S04E25,-4,-25,230,60,Hsx,3,1,Alpha,2002-01-15,301.6342007768246,512.0061257119422,20020115_9781.npy
9782,N07E33,7,-33,222,240,Dao,5,9,Beta-Delta,2002-01-15,242.50411559724083,604.3006760534166,20020115_9782.npy
9783,S11E52,-11,-52,203,140,Hsx,3,2,Alpha,2002-01-15,126.96836754805742,440.2708074171544,20020115_9783.npy
9784,S28E44,-28,-44,211,0,Axx,0,1,Alpha,2002-01-15,206.5496174339516,303.26385246132816,20020115_9784.npy
9785,N11E41,11,-41,214,200,Dao,7,6,Beta-Gamma,2002-01-15,191.18891437988287,634.8739280198358,20020115_9785.npy
9772,S17W81,-17,81,323,30,Hsx,1,1,Alpha,2002-01-16,980.6424579032328,372.6402554940446,20020116_9772.npy
9773,N16W82,16,82,324,260,Eao,13,7,Beta-Gamma,2002-01-16,984.1670841791004,652.9339090844587,20020116_9773.npy
9775,S06W69,-6,69,311,280,Fki,16,14,Beta-Gamma-Delta,2002-01-16,973.0557147221728,473.7591144216623,20020116_9775.npy
9776,N08W50,8,50,292,10,Cso,2,2,Beta,2002-01-16,889.0977555088405,605.6978900810084,20020116_9776.npy
9778,S15W18,-15,18,260,90,Dao,10,11,Beta,2002-01-16,660.454887847065,419.52441671441954,20020116_9778.npy
9779,N29W24,29,24,266,110,Hsx,2,1,Alpha,2002-01-16,688.8389642887921,783.6892285621918,20020116_9779.npy
9781,S05E13,-5,-13,229,60,Hsx,2,1,Alpha,2002-01-16,400.1459937558223,506.81924434155616,20020116_9781.npy
9782,N06E20,6,-20,222,220,Dao,5,11,Beta-Delta,2002-01-16,342.382270488378,600.5320210475155,20020116_9782.npy
9783,S11E42,-11,-42,202,260,Hkx,3,2,Alpha,2002-01-16,184.97811372523935,445.77496374060365,20020116_9783.npy
9785,N11E28,11,-28,214,190,Dao,6,5,Beta-Gamma,2002-01-16,282.3634802649983,640.6051854487631,20020116_9785.npy
9775,S06W86,-6,86,314,160,Eao,11,6,Beta-Gamma,2002-01-17,1004.2412888378636,462.4440466041134,20020117_9775.npy
9778,S14W35,-14,35,263,40,Dao,6,9,Beta,2002-01-17,789.1189533391505,423.7042336874241,20020117_9778.npy
9779,N29W38,29,38,266,110,Hsx,3,2,Alpha,2002-01-17,779.922626992098,779.6868694688883,20020117_9779.npy
9781,S05W01,-5,1,229,80,Hax,2,2,Alpha,2002-01-17,520.7560456475703,508.6792269872443,20020117_9781.npy
9782,N06E05,6,-5,223,260,Dao,8,16,Beta,2002-01-17,468.91793295237926,603.6249643410202,20020117_9782.npy
9783,S12E25,-12,-25,203,170,Cao,5,6,Beta,2002-01-17,306.26169635295787,444.280234744049,20020117_9783.npy
9785,N10E14,10,-14,214,180,Dao,8,7,Beta,2002-01-17,393.4430385290063,636.4782142954466,20020117_9785.npy
9786,S26E07,-26,-7,221,30,Dso,6,3,Beta,2002-01-17,457.55406045556185,330.11912355102123,20020117_9786.npy
9778,S14W50,-14,50,265,20,Cso,3,3,Beta,2002-01-18,881.9576831347872,417.3447599946419,20020118_9778.npy
9779,N29W53,29,53,268,120,Cso,4,3,Beta,2002-01-18,859.422616307872,773.2323598312361,20020118_9779.npy
9781,S04W14,-4,14,229,100,Hsx,1,1,Alpha,2002-01-18,632.5303847371778,516.9843067827576,20020118_9781.npy
9782,N06W08,6,8,223,270,Dko,6,10,Beta,2002-01-18,581.2684904920834,604.1926382420083,20020118_9782.npy
9783,S12E12,-12,-12,203,210,Cao,4,5,Beta,2002-01-18,411.0357517608411,447.949095043311,20020118_9783.npy
9785,N10E01,10,-1,214,250,Dao,7,12,Beta,2002-01-18,503.76846166950935,638.4880085617264,20020118_9785.npy
9786,S26W06,-26,6,221,50,Dso,6,7,Beta,2002-01-18,559.1123117797777,330.9824004508506,20020118_9786.npy
9787,S08E85,-8,-85,130,120,Hhx,5,1,Alpha,2002-01-18,23.014989096834995,446.0882436762795,20020118_9787.npy
9778,S14W62,-14,62,264,10,Bxo,3,3,Beta,2002-01-19,937.5612943371297,410.8307271824141,20020119_9778.npy
9779,N29W64,29,64,266,90,Hax,2,2,Alpha,2002-01-19,902.218096679209,767.3792676838307,20020119_9779.npy
9781,S05W28,-5,28,230,80,Hsx,2,1,Alpha,2002-01-19,744.7637500995536,505.4015839378949,20020119_9781.npy
9782,N06W22,6,22,224,200,Dao,4,10,Beta,2002-01-19,697.4321880683415,602.2968946263464,20020119_9782.npy
9783,S11E01,-11,-1,201,180,Cao,7,6,Beta,2002-01-19,503.41300949655454,458.2881529090189,20020119_9783.npy
9785,N09W14,9,14,216,180,Dso,7,11,Beta,2002-01-19,630.9299794630444,629.603946895656,20020119_9785.npy
9786,S26W19,-26,19,221,30,Cso,6,15,Beta,2002-01-19,657.607812017174,329.9307166280636,20020119_9786.npy
9787,S07E71,-7,-71,131,210,Hax,4,2,Alpha,2002-01-19,45.91223231955223,464.7013207152275,20020119_9787.npy
9788,N16E52,16,-52,150,30,Cro,1,2,Beta,2002-01-19,135.38161316229468,672.9043275265127,20020119_9788.npy
9789,N15E10,15,-10,192,20,Bxo,4,4,Beta,2002-01-19,428.4248080014486,680.0918545261788,20020119_9789.npy
9779,N28W77,28,77,266,70,Hsx,2,1,Alpha,2002-01-20,938.4410063302048,751.8574650061038,20020120_9779.npy
9781,S05W42,-5,42,231,80,Hsx,2,1,Alpha,2002-01-20,843.368006944467,500.0931511984044,20020120_9781.npy
9782,N07W35,7,35,224,140,Dao,5,7,Beta,2002-01-20,795.0608028770625,606.850640913706,20020120_9782.npy
9783,S11W12,-11,12,201,140,Dao,5,5,Beta,2002-01-20,613.4491807739711,458.17509174176143,20020120_9783.npy
9785,N09W26,9,26,215,120,Dao,5,7,Beta,2002-01-20,727.3137684194955,627.2547139210102,20020120_9785.npy
9786,S25W32,-25,32,221,90,Dao,8,12,Beta,2002-01-20,750.7552096667462,335.02178031052256,20020120_9786.npy
9787,S07E59,-7,-59,130,360,Cko,10,6,Beta,2002-01-20,88.95473522037543,473.0546572523905,20020120_9787.npy
9788,N17E40,17,-40,149,80,Dso,7,8,Beta,2002-01-20,206.03912496181272,687.8307178011198,20020120_9788.npy
9789,N15W02,15,2,191,20,Bxo,3,5,Beta,2002-01-20,528.5970833018214,681.4428241777291,20020120_9789.npy
9790,N28E25,28,-25,164,10,Hsx,1,1,Alpha,2002-01-20,326.144184573482,778.5659031124587,20020120_9790.npy
9779,N27W90,27,90,266,30,Hsx,2,2,Alpha,2002-01-21,952.9783273413824,735.3749451732012,20020121_9779.npy
9781,S04W55,-4,55,231,60,Hsx,2,2,Alpha,2002-01-21,917.7307481382156,501.90261255767047,20020121_9781.npy
9782,N08W48,8,48,224,140,Cao,5,3,Beta,2002-01-21,877.5014134942862,609.3480021462307,20020121_9782.npy
9783,S11W25,-11,25,201,130,Cao,4,6,Beta,2002-01-21,718.1906797361895,455.8541369906598,20020121_9783.npy
9785,N11W39,11,39,215,110,Dao,7,6,Beta,2002-01-21,818.9244347806055,639.3899536243891,20020121_9785.npy
9786,S25W45,-25,45,221,80,Dao,8,6,Beta,2002-01-21,830.277830406546,330.1501515189342,20020121_9786.npy
9787,S07E46,-7,-46,130,420,Cko,10,6,Beta,2002-01-21,156.5606791567959,481.2797864816758,20020121_9787.npy
9788,N17E27,17,-27,149,90,Dso,7,16,Beta,2002-01-21,295.6340078806917,693.7308991958389,20020121_9788.npy
9789,N15W15,15,15,191,20,Cso,3,7,Beta,2002-01-21,636.1418734641329,680.7139254206797,20020121_9789.npy
9790,N28E12,28,-12,164,0,Axx,0,1,Alpha,2002-01-21,420.3272345380817,782.0087978235586,20020121_9790.npy
9791,S03W19,-3,19,195,30,Cso,4,9,Beta,2002-01-21,673.5706705654575,526.9227147190645,20020121_9791.npy
9792,N07E23,7,-23,153,10,Bxo,3,2,Beta,2002-01-21,318.63659065728257,611.9668277116475,20020121_9792.npy
